categorie,texte,medicament1,medicament2,astuce
aretin-tongotra (olona antitra),Mikitroka ny tongotra rehefa mandry,Magn�sium : 1x/andro (hariva) mandritra ny 1 volana,Quinine : 1x/andro (hariva) mandritra ny 7 andro,Maninjitra ny tongotra alohan'ny hatory
aretin-tanana (olona antitra),Mangovitra ny tanana rehefa mitazona zavatra,Propranolol : 1x/andro (maraina) mandritra ny 1 volana,Vitamine B12 : 1x/andro (maraina),Mampiasa lovia sy kaopy tsy mora vaky
aretin-tanana (olona antitra),Marary ny rantsan-tanana vokatry ny arthritis,Diclof�nac gel : 3x/andro (maraina-midi-hariva),Parac�tamol : raha ilaina,Manao faninjiana malefaka isan'andro
aretin-tanana (olona antitra),Misy fivontosana eo amin'ny hato-tanana ka tsy afaka manetsika tsara,Cortisone injection : indray mandeha,Diclof�nac : 2x/andro (maraina-hariva),Miala sasatra ary aza mampiasa tanana loatra
aretin-tanana (olona antitra),Mangirifirifa ny tanana manomboka amin'ny soroka ka hatrany amin'ny rantsan-tanana,Gabapentine : 1x/andro (hariva) mandritra ny 1 volana,Carbamaz�pine : 2x/andro (maraina-hariva),Manao faninjiana malefaka isan'andro
aretin-tanana (olona antitra),Misy fahatsapana ho toy ny misy antsantsa manindry ny tanana,Physioth�rapie : isan-kerinandro,Gabapentine : 1x/andro (hariva),Miala sasatra ary aza manao asa miverimberina
aretin-tsakafo (olona antitra),Mandoa aorian'ny fisakafoana vokatry ny fery ao an-kibo,Om�prazole : 1x/andro (maraina) mandritra ny 4 herinandro,Antiacide : raha ilaina,Mihinana sakafo kely matetika
aretin-tsakafo (olona antitra),Tsy mahazaka sakafo matavy ka mandoa,Domp�ridone : 3x/andro (maraina-midi-hariva) alohan'ny sakafo,Om�prazole : 1x/andro (maraina),Fadio ny sakafo matavy sy nendasina
aretin-tsakafo (olona antitra),Mandoa vokatry ny fanafody fanaintainana,Antiacide : raha ilaina,Om�prazole : 1x/andro (maraina) mandritra ny 2 herinandro,Misotroa fanafody aorian'ny sakafo
aretin-tsakafo (olona antitra),Mahatsiaro ho voky loatra na dia vao nihinana kely aza,M�toclopramide : 3x/andro (maraina-midi-hariva) alohan'ny sakafo,Om�prazole : 1x/andro (maraina),Mihinana moramora ary tsakoina tsara ny sakafo
aretin-tsakafo (olona antitra),Mandoa sy mivalana aorian'ny fisakafoana any ivelany,ORS : isaky ny mikoriana,Probiotika : 2x/andro (maraina-hariva) mandritra ny 5 andro,Misafidy toerana madio hisakafoana
aretin-orona (olona antitra),Mitsentsitra orona vokatry ny allergy,C�tirizine : 1x/andro (hariva) mandritra ny 5 andro,D�congestionnant nasal : 2x/andro (maraina-hariva),Diova tsara ny trano ary esory ny vovoka
aretin-orona (olona antitra),Misy r� mivoaka avy amin'ny orona indraindray vokatry ny tosidra avo,Nif�dipine : 1x/andro (maraina),Amlodipine : 1x/andro (maraina),Miondrika mandroso ny loha raha misy r� mivoaka
aretin-orona (olona antitra),Mitsentsitra orona maharitra mihoatra ny 2 herinandro,Fanaraha-maso dokotera,Antibiotika : raha ilaina,Manao fitiliana raha misy otrikaretina
aretin-orona (olona antitra),Misy fofona ratsy avy amin'ny orona,Fanaraha-maso dokotera,Antibiotika : 2x/andro (maraina-hariva) mandritra ny 5 andro,Manasa orona amin'ny serum physiologique
aretin-orona (olona antitra),Tsy mahazo fofonaina amin'ny orona vokatry ny polyps,Cortico�de nasal : 2x/andro (maraina-hariva) mandritra ny 1 volana,Fanaraha-maso dokotera,Mampiasa humidificateur ao an-trano
aretin-tazomoka (olona antitra),Mangovitra sy tazo miaraka amin'ny aretin-doha,Parac�tamol : 3x/andro (maraina-midi-hariva) mandritra ny 5 andro,Art�sunate : 1x/andro mandritra ny 3 andro,Mampiasa moka rota rehefa matory
aretin-tazomoka (olona antitra),Reraka be sy tsy tia mihinana vokatry ny tazo,Art�m�ther-lum�fantrine : 2x/andro (maraina-hariva) mandritra ny 3 andro,Parac�tamol : raha misy tazo,Misotroa rano betsaka mba tsy ho ritra rano
aretin-tazomoka (olona antitra),Mandoa sy mivalana miaraka amin'ny tazo,ORS : isaky ny mikoriana,Parac�tamol : 3x/andro,Misotroa ORS betsaka
aretin-tazomoka (olona antitra),Misy tazo miaraka amin'ny fivalozana (convulsion) amin'ny olona antitra,Fanaraha-maso dokotera haingana,Parac�tamol : raha ilaina,Mampandry amin'ny lafiny iary ary miantso dokotera
aretin-tazomoka (olona antitra),Miverimberina ny tazo na dia vita fitsaboana aza,Fanaraha-maso dokotera,Fanafody manokana aorian'ny fitsapana,Manao fitiliana ra
