categorie,texte,medicament1,medicament2,astuce,cat_base,texte_proc
diabeta,Inona no atao raha mitebiteby be aho ary misy siramamy be ny vatako hatramin'ny herinandro?,Metformine 500 mg : 2x/andro (maraina-hariva) mandritra ny 3 volana,Vitamine B12 : 1x/andro (maraina),Manao fanatanjahan-tena 30 minitra isan andro ary mivatsy vatomamy,diabeta,inona no atao raha mitebiteby be aho ary misy siramamy be ny vatako hatramin'ny herinandro
aretin-doha,Mangorakoraka ny lohako ary tsy mahita tory aho mba hanampy,Aspirine 500 mg : 2x/andro mandritra ny 3 andro,Ibuprofène 400 mg : 2x/andro (maraina-hariva) mandritra ny 3 andro,Aza mijery solosaina na finday ela loatra,aretin-doha,mangorakoraka ny lohako ary tsy mahita tory aho mba hanampy loha lohany
tazomoka,Voan ny malaria aho hatramin'ny maraina,Coartem (Artéméther-Luméfantrine) : 2x/andro mandritra ny 3 andro,Ibuprofène 400 mg : 2x/andro (maraina-hariva),Matoria ao anatin ny mostikera ary mampiasa repulsif,tazomoka,voan ny malaria aho hatramin'ny maraina
aretin-tenda,Misy fanaintainana ny tendako rehefa mitelina sakafo mandritra ny 2 andro,Paracétamol 500 mg : 3x/andro (maraina-atoandro-hariva) mandritra ny 3 andro,Pastilles pour gorge : matetika isan andro,Aza mihinana ranomandry ary misotroa rano mafana foana,aretin-tenda,misy fanaintainana ny tendako rehefa mitelina sakafo mandritra ny andro marary manaintaina mangirifiry tenda tendany marary tenda
tazo,Mangovitra aho ary misy tazo hatramin'ny alina,Aspirine 500 mg : 2x/andro (maraina-hariva),ORS : misotroa betsaka rehefa mangovitra,Matoria tsara ary miala manaova mafana tsara,tazo,mangovitra aho ary misy tazo hatramin'ny alina manavy mafana mamay
aretin-pivalanana,Misy diarrhée ary mitebiteby be aho hatramin'ny alina,ORS (Sels de réhydratation orale) : misotroa betsaka,Probiotiques : 1x/andro mandritra ny 7 andro,Misotroa ORS isan-mandrevo ary manaova mafana tsara,aretin-pivalanana,misy diarrhee ary mitebiteby be aho hatramin'ny alina
tazomoka,Voan ny tazomoka aho 40 degre ny mari panako ary mangovitra be aho hatramin ny omaly,Artésunate : 1x/andro mandritra ny 3 andro,Paracétamol 1000 mg : isaky ny 6 ora raha tazo avo,Aza mivoaka amin ny alina ary mampiasa spray anti-moustique,tazomoka,voan ny tazomoka aho 40 degre ny mari panako ary mangovitra be aho hatramin ny omaly tazo avy amin ny kaikitry ny moka
aretim-po,Misy fanaintainana ny foko ary sarotra amiko ny miaina efa 6 andro lasa izay,Aténolol 50 mg : 1x/andro (maraina) tsy tapaka,Amlodipine 5 mg : 1x/andro (maraina),Manao fitiliana ny foko matetika,aretim-po,misy fanaintainana ny foko ary sarotra amiko ny miaina efa andro lasa izay marary manaintaina mangirifiry fo
aretin-tenda,Marary ny tendako rehefa mitelina mandritra ny 2 andro,Ibuprofène 400 mg : 3x/andro mandritra ny 5 andro,Spray antiseptique amin ny tendako : 3x/andro,Misotroa rano mafana ary matoria amin ny toerana mafana,aretin-tenda,marary ny tendako rehefa mitelina mandritra ny andro manaintaina mangirifiry fanaintainana tenda tendany marary tenda
areti-maso,Manaintaina ny masoko hatramin'ny alina,Collyre antiseptique : 3x/andro mandritra ny 5 andro,Ibuprofène 400 mg : 2x/andro raha misy fanaintainana,Aza mampifanojo ny maso amin ny jiro diso mazava loatra,areti-maso,manaintaina ny masoko hatramin'ny alina marary mangirifiry fanaintainana maso masony
diabeta,Siramamy ambony ary mitebiteby foana aho mandritra ny andro manontolo,Metformine 850 mg : 2x/andro (maraina-hariva),Acide folique : 1x/andro (maraina),Aza mihinana sakafo misy siramamy be ary mihinana akondro kely,diabeta,siramamy ambony ary mitebiteby foana aho mandritra ny andro manontolo
aretin-tratra,Inona no atao raha manaintaina ny tratrako rehefa miaina efa 6 andro lasa izay?,Prednisolone 20 mg : 1x/andro (maraina) mandritra ny 5 andro,Vitamine C 500 mg : 1x/andro,Miala sasatra tsara ary misotroa rano mafana misy tantely,aretin-tratra,inona no atao raha manaintaina ny tratrako rehefa miaina efa andro lasa izay marary mangirifiry fanaintainana tratra
aretin-pivalanana,Misy diarrhée ary tsy mahazo tory mandritra ny 2 andro,Smecta : 3 sachets isan andro mandritra ny 3 andro,Paracétamol 500 mg : 3x/andro raha misy tazo,Misotroa ORS isan-mandrevo ary manaova mafana tsara,aretin-pivalanana,misy diarrhee ary tsy mahazo tory mandritra ny andro
aretin-kibo,Misy ulcère ny kiboko hatramin'ny alina misy fanafody ve?,Oméprazole 40 mg : 1x/andro (maraina) mandritra ny 4 herinandro,Métoclopramide : 3x/andro raha misy nausée,Mampihena ny adin-tsaina ary manaova fanatanjahan-tena maivana,aretin-kibo,misy ulcere ny kiboko hatramin'ny alina misy fanafody ve kibo kibony
tazo,Misy tazo sy aretin-doha miaraka aho mandritra ny 2 andro,Paracétamol 500 mg : 3x/andro (maraina-atoandro-hariva) mandritra ny 3 andro,Ibuprofène 400 mg : 2x/andro (maraina-hariva),Matoria tsara ary miala manaova mafana tsara,tazo,misy tazo sy aretin-doha aretin doha miaraka aho mandritra ny andro manavy mafana mamay
aretin-doha,Migraine no manenjika ahy hatramin'ny omaly efa 6 andro lasa izay,Sumatriptan : 1x/andro raha ilaina,Paracétamol 500 mg : 3x/andro raha ilaina,Matory amin ny efitra maizina sy mangina ary asio ranomandry eo amin ny handrina,aretin-doha,migraine no manenjika ahy hatramin'ny omaly efa andro lasa izay
tazomoka,Voan ny tazomoka aho 40 degre ny mari panako ary mangovitra be aho,Artéméther injection : araka ny dokotera,Paracétamol 1000 mg : isaky ny 6 ora raha tazo avo,Aza mivoaka amin ny alina ary mampiasa spray anti-moustique,tazomoka,voan ny tazomoka aho 40 degre ny mari panako ary mangovitra be aho tazo avy amin ny kaikitry ny moka
aretin-tongotra,Mivonto ny tongotrako hatramin'ny maraina,Paracétamol 500 mg : 3x/andro mandritra ny 3 andro,Diclofénac gel : mametraka 3x/andro,Asio ranomandry rehefa mivonto ary sasao tsara ny tongotro,aretin-tongotra,mivonto ny tongotrako hatramin'ny maraina
tazo,Tazo mahery no mahazo ahy inona ny tokony hatao?,Paracétamol 1000 mg : isaky ny 6 ora raha 38.5 degre mihoatra,Paracétamol 500 mg : raha ilaina,Matoria tsara ary miala manaova mafana tsara,tazo,tazo mahery no mahazo ahy inona ny tokony hatao manavy mafana mamay
tazomoka,Voan ny tazomoka ary very hery be aho mandritra ny andro manontolo inona ny tokony hatao?,Coartem (Artéméther-Luméfantrine) : 2x/andro mandritra ny 3 andro,Ibuprofène 400 mg : 2x/andro (maraina-hariva),Mampiasa ody mokaMisotroa rano betsaka ary matoria amin ny toerana mafana,tazomoka,voan ny tazomoka ary very hery be aho mandritra ny andro manontolo inona ny tokony hatao tazo avy amin ny kaikitry ny moka
fiakaran-ny-tosi-dra,Ambony ny tosi-drako ary mangorakoraka be ny foko hatramin'ny herinandro,Lisinopril 10 mg : 1x/andro (maraina),Spironolactone 25 mg : 1x/andro (maraina),Aza mihinana sakafo misy graise be ary manaova dieta,fiakaran-ny-tosi-dra,ambony ny tosi-drako tosi drako ary mangorakoraka be ny foko hatramin'ny herinandro fo
aretim-po,Misy palpitation mafy aho hatramin'ny herinandro,Aténolol 50 mg : 1x/andro (maraina) tsy tapaka,Nitroglycérine spray : raha ilaina rehefa mafy,Mitsahara tsara ary aza manao fanatanjahan-tena mavesatra,aretim-po,misy palpitation mafy aho hatramin'ny herinandro
kohaka,Inona no atao raha nikohaka foana aho nandritra ny herinandro izay?,Dextromethorphan sirop : 2x/andro (maraina-hariva),Vitamine C 500 mg : 1x/andro (maraina),Misotroa rano mafana misy tantely sy voasarimakirana ary sakamalao,kohaka,inona no atao raha nikohaka foana aho nandritra ny herinandro izay
aretin-doha,Migraine no manenjika ahy hatramin'ny omaly mandritra ny 2 andro,Paracétamol 1000 mg : 2x/andro (maraina-hariva),Métoclopramide : 3x/andro raha misy alahelo,Misotroa rano betsaka ary mila matory ampy 7-8 ora isan alina,aretin-doha,migraine no manenjika ahy hatramin'ny omaly mandritra ny andro
kohaka,Inona no atao raha mikohaka aho ary marary ny tendako mandritra ny 2 andro?,Paracétamol 500 mg : 3x/andro mandritra ny 3 andro,Ibuprofène 400 mg : 2x/andro (maraina-hariva),Misotroa rano mafana misy tantely sy voasarimakirana ary sakamalao,kohaka,inona no atao raha mikohaka aho ary marary ny tendako mandritra ny andro kohaka manaintaina mangirifiry fanaintainana tenda tendany marary tenda
aretin-doha,Marary ny lohako ary reraka be aho hatramin'ny 9 ora,Paracétamol 1000 mg : 2x/andro (maraina-hariva),Métoclopramide : 3x/andro raha misy alahelo,Mila miala sasatra tsara ary aza mihinana sakafo mafana be,aretin-doha,marary ny lohako ary reraka be aho hatramin'ny ora manaintaina mangirifiry fanaintainana loha lohany
kohaka,Mikohaka aho ary reraka,Bromhexine sirop : 3x/andro mandritra ny 7 andro,Vitamine C 500 mg : 1x/andro (maraina),Aza mivoaka amin ny hatsiaka ary misotroa rano mafana,kohaka,mikohaka aho ary reraka kohaka
aretin-tenda,Inona no atao raha misy fanaintainana ny tendako rehefa mitelina sakafo hatramin ny omaly?,Ibuprofène 400 mg : 3x/andro mandritra ny 5 andro,Pastilles pour gorge : matetika isan andro,Aza mihinana ranomandry ary misotroa rano mafana foana,aretin-tenda,inona no atao raha misy fanaintainana ny tendako rehefa mitelina sakafo hatramin ny omaly marary manaintaina mangirifiry tenda tendany marary tenda
areti-maso,Tsy mahita tsara aho mandritra ny andro manontolo,Gentamicine collyre : 3x/andro mandritra ny 5 andro,Larmes artificielles : matetika isan andro,Aza mampifanojo ny maso amin ny jiro diso mazava loatra,areti-maso,tsy mahita tsara aho mandritra ny andro manontolo
aretin-doha,Inona no atao raha marary ny lohako aorian ny fijerena solosaina hatramin'ny maraina?,Sumatriptan : 1x/andro raha ilaina,Paracétamol 500 mg : 3x/andro raha ilaina,Manaova fanatanjahan-tena maivana ary misotroa rano betsaka,aretin-doha,inona no atao raha marary ny lohako aorian ny fijerena solosaina hatramin'ny maraina manaintaina mangirifiry fanaintainana loha lohany
aretin-tratra,Misy kohaka sy tratrako ary marary mafy aho hatramin ny omaly,Amoxicilline-Acide Clavulanique 875 mg : 2x/andro mandritra ny 7 andro,Sirop toux : 3x/andro (maraina-atoandro-hariva),Misotroa rano betsaka ary aza mihinana ranomandry,aretin-tratra,misy kohaka sy tratrako ary marary mafy aho hatramin ny omaly mikohaka tratra manaintaina mangirifiry fanaintainana
areti-maso,Tsy mahita tsara aho hatramin'ny 9 ora,Tobramycine collyre : 4x/andro mandritra ny 7 andro,Larmes artificielles : 2x/andro (maraina-hariva) mandritra ny 15 andro,Matoria tsara ary aza mijery finday sy solosaina lava,areti-maso,tsy mahita tsara aho hatramin'ny ora
aretin-tongotra,Misy arthrose eo amin ny lohalikako hatramin ny omaly,Naproxène 500 mg : 2x/andro (maraina-hariva),Myorelaxant : 1x/andro (hariva),Mitsahara ary asio ranomandry raha mivonto ary ataovy madio ny tongotra,aretin-tongotra,misy arthrose eo amin ny lohalikako hatramin ny omaly
fiakaran-ny-tosi-dra,Hypertension ary tsy mahazo aina tsara hatramin ny omaly,Ramipril 5 mg : 1x/andro (maraina) tsy tapaka,Atorvastatine 10 mg : 1x/andro (hariva),Aza mihinana sakafo misy sira be,fiakaran-ny-tosi-dra,hypertension ary tsy mahazo aina tsara hatramin ny omaly tsindry tosi-dra
aretin-tenda,Misy aretin-tenda mafy aho hatramin'ny 9 ora,Paracétamol 500 mg : 3x/andro (maraina-atoandro-hariva) mandritra ny 3 andro,Pastilles pour gorge : matetika isan andro,Gargarisa rano mafana misy sira 3x isan andro,aretin-tenda,misy aretin-tenda aretin tenda mafy aho hatramin'ny ora tendako tendany marary tenda
tazo,Ambony ny hafanan ny vatako ary mangovitra be aho hatramin'ny 9 ora,Paracétamol 500 mg : 3x/andro (maraina-atoandro-hariva) mandritra ny 3 andro,Paracétamol 500 mg : raha ilaina,Asio lamba mando eo amin ny handrina ary misotroa rano,tazo,ambony ny hafanan ny vatako ary mangovitra be aho hatramin'ny ora
tazomoka,Voan ny tazomoka avo razana aho ary mangovitra tsy mitsahatra efa 6 andro lasa izay ahoana ny fitsaboana?,Coartem (Artéméther-Luméfantrine) : 2x/andro mandritra ny 3 andro,Ibuprofène 400 mg : 2x/andro (maraina-hariva),Aza mivoaka amin ny alina ary mampiasa spray anti-moustique,tazomoka,voan ny tazomoka avo razana aho ary mangovitra tsy mitsahatra efa andro lasa izay ahoana ny fitsaboana tazo avy amin ny kaikitry ny moka
aretin-doha,Marary be ny lohako hatramin'ny alina,Aspirine 500 mg : 2x/andro mandritra ny 3 andro,Caféine 100mg : 1x/andro (maraina),Matory amin ny efitra maizina sy mangina ary asio ranomandry eo amin ny handrina,aretin-doha,marary be ny lohako hatramin'ny alina manaintaina mangirifiry fanaintainana loha lohany
tazomoka,Voan ny tazomoka ary mandrevo be aho hatramin'ny herinandro,Quinine : 3x/andro mandritra ny 7 andro,Paracétamol 500 mg : 3x/andro mandritra ny 3 andro,Mampiasa ody mokaMisotroa rano betsaka ary matoria amin ny toerana mafana,tazomoka,voan ny tazomoka ary mandrevo be aho hatramin'ny herinandro tazo avy amin ny kaikitry ny moka mivalanana mivalan-tay
tazo,Tsy afaka mitsangana aho noho ny tazo hatramin'ny herinandro,Paracétamol 500 mg : isaky ny 8 ora mandritra ny 5 andro,Paracétamol 500 mg : raha ilaina,Miala sasatra tsara ary misotroa rano mafana,tazo,tsy afaka mitsangana aho noho ny tazo hatramin'ny herinandro manavy mafana mamay
aretin-doha,Migraine mafy no mahazo ahy hatramin'ny 9 ora,Paracétamol 500 mg : 3x/andro (maraina-atoandro-hariva) mandritra ny 3 andro,Métoclopramide : 3x/andro raha misy alahelo,Matory amin ny efitra maizina sy mangina ary asio ranomandry eo amin ny handrina,aretin-doha,migraine mafy no mahazo ahy hatramin'ny ora
aretin-tsaina,Misy stress mafy aho mandritra ny andro manontolo,Sertraline : 1x/andro (maraina) mandritra ny 3 volana,Valériane : 1x/andro (hariva),Miresaka amin ny olona matoky ary mitady fanampiana,aretin-tsaina,misy stress mafy aho mandritra ny andro manontolo
aretin-doha,Misy faintanana eo amin ny lohako hatramin'ny maraina,Ibuprofène 400 mg : 2x/andro (maraina-hariva) mandritra ny 3 andro,Caféine 100mg : 1x/andro (maraina),Manaova fanatanjahan-tena maivana ary misotroa rano betsaka,aretin-doha,misy faintanana eo amin ny lohako hatramin'ny maraina loha lohany
tazomoka,Voan ny tazomoka aho ary marary ny kiboko hatramin ny omaly,Quinine : 3x/andro mandritra ny 7 andro,Paracétamol 500 mg : 3x/andro mandritra ny 3 andro,Aza mivoaka amin ny alina ary mampiasa spray anti-moustique,tazomoka,voan ny tazomoka aho ary marary ny kiboko hatramin ny omaly tazo avy amin ny kaikitry ny moka manaintaina mangirifiry fanaintainana kibo kibony
tazomoka,Voan ny tazomoka avo razana aho ary mangovitra tsy mitsahatra efa 6 andro lasa izay,Artésunate : 1x/andro mandritra ny 3 andro,Ibuprofène 400 mg : 2x/andro (maraina-hariva),Matoria ao anatin ny mostikera,tazomoka,voan ny tazomoka avo razana aho ary mangovitra tsy mitsahatra efa andro lasa izay tazo avy amin ny kaikitry ny moka
fiakaran-ny-tosi-dra,Hypertension ary tsy mahazo aina tsara hatramin'ny herinandro ahoana ny fitsaboana?,Lisinopril 10 mg : 1x/andro (maraina),Hydrochlorothiazide 12.5 mg : 1x/andro (maraina),Manao fitiliana ny tosi-dra isan andro ary mihinana sakafo tsara,fiakaran-ny-tosi-dra,hypertension ary tsy mahazo aina tsara hatramin'ny herinandro ahoana ny fitsaboana tsindry tosi-dra
aretin-tongotra,Manaintaina ny tongotro ary misy gonflement hatramin ny omaly,Kétoprofène 100 mg : 2x/andro mandritra ny 5 andro,Diclofénac gel : mametraka 3x/andro,Mitsahara ary aza mitsangana ela loatra,aretin-tongotra,manaintaina ny tongotro ary misy gonflement hatramin ny omaly marary mangirifiry fanaintainana tongotra lohalika ratsan-tongotra
aretin-tsaina,Inona no atao raha mitebiteby be ary tsy mazoto homana aho hatramin'ny herinandro?,Sertraline : 1x/andro (maraina) mandritra ny 3 volana,Mélatonine 5 mg : 1x/andro (hariva),Manaova fanatanjahan-tena maivana isan andro ary matoria tsara,aretin-tsaina,inona no atao raha mitebiteby be ary tsy mazoto homana aho hatramin'ny herinandro
fiakaran-ny-tosi-dra,Misy tosi-dra ambony ary manaintaina ny lohako mandritra ny 2 andro,Losartan 50 mg : 1x/andro (maraina) tsy tapaka,Hydrochlorothiazide 12.5 mg : 1x/andro (maraina),Mampihena ny stress ary misotroa rano betsaka,fiakaran-ny-tosi-dra,misy tosi-dra tosi dra ambony ary manaintaina ny lohako mandritra ny andro tsindry hypertension marary mangirifiry fanaintainana loha lohany
aretin-tongotra,Mivonto ny rantsa tongoko ary manaintaina be hatramin'ny alina,Kétoprofène 100 mg : 2x/andro mandritra ny 5 andro,Myorelaxant : 1x/andro (hariva),Asio ranomandry rehefa mivonto ary sasao tsara ny tongotro,aretin-tongotra,mivonto ny rantsa tongoko ary manaintaina be hatramin'ny alina marary mangirifiry fanaintainana
aretin-kibo,Tsy mahasahy mihinana aho noho ny kiboko marary hatramin'ny 9 ora,Ranitidine 150 mg : 2x/andro (maraina-hariva),Antiacide : raha ilaina rehefa manaintaina,Mihinana matetika sakafo kely ary aza mihinana be indray mandeha,aretin-kibo,tsy mahasahy mihinana aho noho ny kiboko marary hatramin'ny ora kibo kibony manaintaina mangirifiry fanaintainana
aretin-tenda,Marary ny tendako rehefa mitelina hatramin'ny herinandro,Paracétamol 1000 mg : 2x/andro (maraina-hariva),Ibuprofène 400 mg : 2x/andro (maraina-hariva),Misotroa rano mafana misy tantely sy voasarimakirana ary sakaviro,aretin-tenda,marary ny tendako rehefa mitelina hatramin'ny herinandro manaintaina mangirifiry fanaintainana tenda tendany marary tenda
areti-maso,Manaintaina ny masoko ary marary be hatramin'ny maraina,Tobramycine collyre : 4x/andro mandritra ny 7 andro,Vitamine A : 1x/andro mandritra ny 1 volana,Tazomy madio ny tananao ary aza mikasika ny maso raha tsy vita sasa tsara tanana,areti-maso,manaintaina ny masoko ary marary be hatramin'ny maraina marary mangirifiry fanaintainana maso masony manaintaina mangirifiry fanaintainana
diabeta,Misy siramamy be ny vatako ary mitebiteby foana aho noho izany hatramin'ny herinandro,Insuline : araka ny torohevitry ny dokotera,Vitamine D : 1x/andro (maraina),Aza mihinana sakafo misy siramamy be ary mihinana akondro kely,diabeta,misy siramamy be ny vatako ary mitebiteby foana aho noho izany hatramin'ny herinandro
fiakaran-ny-tosi-dra,Hypertension ary tsy mahazo aina tsara mandritra ny 2 andro,Losartan 50 mg : 1x/andro (maraina) tsy tapaka,Furosémide 40 mg : 1x/andro (maraina),Mampihena ny stress ary misotroa rano betsaka,fiakaran-ny-tosi-dra,hypertension ary tsy mahazo aina tsara mandritra ny andro tsindry tosi-dra
tazomoka,Voan ny malaria aho hatramin'ny alina,Artésunate : 1x/andro mandritra ny 3 andro,ORS : misotroa betsaka rehefa mangovitra,Mampiasa ody mokaMisotroa rano betsaka ary matoria amin ny toerana mafana,tazomoka,voan ny malaria aho hatramin'ny alina
aretin-tongotra,Manaintaina ny tongotro ary sarotra amiko ny mandeha mandritra ny andro manontolo,Ibuprofène 400 mg : 3x/andro mandritra ny 5 andro,Ibuprofène gel : mametraka 2x/andro,Mitsahara ary aza mitsangana ela loatra,aretin-tongotra,manaintaina ny tongotro ary sarotra amiko ny mandeha mandritra ny andro manontolo marary mangirifiry fanaintainana tongotra lohalika ratsan-tongotra
diabeta,Inona no atao raha misy siramamy be ny vatako ary mitebiteby foana aho noho izany hatramin'ny herinandro?,Metformine 500 mg : 2x/andro (maraina-hariva) mandritra ny 3 volana,Aspirine 75 mg : 1x/andro (maraina),Manao fitiliana ny siramamy ao amin ny ra matetika ary mila manao kajy tsara rehefa mihinana sakafo,diabeta,inona no atao raha misy siramamy be ny vatako ary mitebiteby foana aho noho izany hatramin'ny herinandro
aretin-urinaire,Misy infection urinaire hatramin'ny herinandro,Amoxicilline 500 mg : 3x/andro mandritra ny 7 andro,Ibuprofène 400 mg : 2x/andro raha misy fanaintainana,Aza mitazona pipi ela loatra,aretin-urinaire,misy infection urinaire hatramin'ny herinandro
aretin-tratra,Inona no atao raha misy bronchite aho mandritra ny andro manontolo?,Amoxicilline 500 mg : 3x/andro mandritra ny 7 andro,Sirop toux : 3x/andro (maraina-atoandro-hariva),Aza mivoaka amin ny hatsiaka ary matoria amin ny toerana mafana,aretin-tratra,inona no atao raha misy bronchite aho mandritra ny andro manontolo
diabeta,Misy diabeta ary reraka be foana aho hatramin ny omaly,Insuline : araka ny torohevitry ny dokotera,Vitamine B12 : 1x/andro (maraina),Manao fanatanjahan-tena 30 minitra isan andro ary mivatsy vatomamy,diabeta,misy diabeta ary reraka be foana aho hatramin ny omaly fiakaran ny siramamy fidinan ny siramamy
aretin-tenda,Misy pharyngite mafy aho hatramin'ny alina,Ibuprofène 400 mg : 3x/andro mandritra ny 5 andro,Vitamine C 500 mg : 1x/andro,Aza mivoaka amin ny hatsiaka ary misotroa rano mafana,aretin-tenda,misy pharyngite mafy aho hatramin'ny alina
fiakaran-ny-tosi-dra,Hypertensionno mahavoa ahy ary reraka be koa aho hatramin'ny 9 ora,Aténolol 50 mg : 1x/andro (maraina) tsy tapaka,Hydrochlorothiazide 12.5 mg : 1x/andro (maraina),Ahenao ny sira amin ny sakafo ary manaova fanatanjahan-tena maivana,fiakaran-ny-tosi-dra,hypertensionno mahavoa ahy ary reraka be koa aho hatramin'ny ora
aretin-tanana,Mivonto ny tanako mandritra ny 2 andro ahoana ny fitsaboana?,Diclofénac 50 mg : 2x/andro (maraina-hariva),Ibuprofène gel : mametraka eo amin ny toerana marary,Asio ranomandry rehefa mivonto ny tanana,aretin-tanana,mivonto ny tanako mandritra ny andro ahoana ny fitsaboana
aretin-doha,Tsy mahazaka hazavana aho noho ny aretin-dohako mandritra ny andro manontolo,Sumatriptan : 1x/andro raha ilaina,Caféine 100mg : 1x/andro (maraina),Mila miala sasatra tsara ary aza mihinana sakafo mafana be,aretin-doha,tsy mahazaka hazavana aho noho ny aretin-dohako aretin dohako mandritra ny andro manontolo
aretin-tongotra,Inona no atao raha manaintaina ny tongotro ary misy gonflement hatramin'ny alina?,Kétoprofène 100 mg : 2x/andro mandritra ny 5 andro,Paracétamol 500 mg : raha ilaina,Mitsahara ary asio ranomandry raha mivonto ary ataovy madio ny tongotra,aretin-tongotra,inona no atao raha manaintaina ny tongotro ary misy gonflement hatramin'ny alina marary mangirifiry fanaintainana tongotra lohalika ratsan-tongotra
kohaka,Mikohaka aho hatramin ny 5 andro lasa izay hatramin'ny alina,Sirop toux (Toplexil) : 3x/andro (maraina-atoandro-hariva) mandritra ny 7 andro,ORS : misotroa betsaka,Aza mihinana ranomandry ary misotroa rano mafana foana,kohaka,mikohaka aho hatramin ny andro lasa izay hatramin'ny alina kohaka
aretin-tongotra,Misy fanaintainana be ny chevilleko hatramin'ny maraina,Paracétamol 500 mg : 3x/andro mandritra ny 3 andro,Diclofénac gel : mametraka 3x/andro,Mitsahara tsara ary mampiasa gel fanasitranan-drano,aretin-tongotra,misy fanaintainana be ny chevilleko hatramin'ny maraina marary manaintaina mangirifiry
aretin-pivalanana,Mivalana be aho hatramin'ny herinandro,Smecta : 3 sachets isan andro mandritra ny 3 andro,Probiotiques : 1x/andro mandritra ny 7 andro,Misotroa ORS isan-mandrevo ary manaova mafana tsara,aretin-pivalanana,mivalana be aho hatramin'ny herinandro
fiakaran-ny-tosi-dra,Ambony ny tosi-drako ary misy vertiges hatramin'ny alina inona ny tokony hatao?,Aténolol 50 mg : 1x/andro (maraina) tsy tapaka,Furosémide 40 mg : 1x/andro (maraina),Manao fitiliana ny tosi-dra isan andro ary mihinana sakafo tsara,fiakaran-ny-tosi-dra,ambony ny tosi-drako tosi drako ary misy vertiges hatramin'ny alina inona ny tokony hatao
tazo,Mafana be ny vatako ary mangovitra be aho efa 6 andro lasa izay,Ibuprofène 400 mg : 2x/andro (maraina-hariva) mandritra ny 3 andro,Paracétamol 500 mg : raha ilaina,Misotroa rano betsaka 3L isan andro ary matoria tsara,tazo,mafana be ny vatako ary mangovitra be aho efa andro lasa izay tazo manavy mamay
aretin-tratra,Manaintaina ny tratrako efa 6 andro lasa izay misy fanafody ve?,Amoxicilline-Acide Clavulanique 875 mg : 2x/andro mandritra ny 7 andro,Sirop toux : 3x/andro (maraina-atoandro-hariva),Aza mivoaka amin ny hatsiaka ary matoria amin ny toerana mafana,aretin-tratra,manaintaina ny tratrako efa andro lasa izay misy fanafody ve marary mangirifiry fanaintainana tratra
aretin-urinaire,Manaintaina rehefa mivoaka pipi ary tazo hatramin'ny 9 ora,Ciprofloxacine 500 mg : 2x/andro mandritra ny 7 andro,Ibuprofène 400 mg : 2x/andro raha misy fanaintainana,Aza mitazona pipi ela loatra,aretin-urinaire,manaintaina rehefa mivoaka pipi ary tazo hatramin'ny ora marary mangirifiry fanaintainana mamany mipipi manavy mafana mamay
aretin-tanana,Inona no atao raha misy arthrose eo amin ny tanako?,Diclofénac 50 mg : 2x/andro (maraina-hariva),Paracétamol 500 mg : raha ilaina,Mitsahara ary aza mampiasa ny tanana ela loatra,aretin-tanana,inona no atao raha misy arthrose eo amin ny tanako
aretin-kibo,Misy ulcère ny kiboko efa 6 andro lasa izay,Oméprazole 40 mg : 1x/andro (maraina) mandritra ny 4 herinandro,Métoclopramide : 3x/andro raha misy nausée,Mihinana matetika sakafo kely ary aza mihinana be indray mandeha,aretin-kibo,misy ulcere ny kiboko efa andro lasa izay kibo kibony
aretin-tratra,Sarotra amiko ny miaina ary mikohaka mando aho hatramin ny omaly,Salbutamol inhaler : 2 bouffées rehefa ilaina,Sirop toux : 3x/andro (maraina-atoandro-hariva),Misotroa rano mafana foana ary matoria tsara,aretin-tratra,sarotra amiko ny miaina ary mikohaka mando aho hatramin ny omaly kohaka
areti-maso,Misy areti-maso aho hatramin'ny alina,Chloramphénicol collyre : 4x/andro mandritra ny 7 andro,Vitamine A : 1x/andro mandritra ny 1 volana,Sasao ny maso amin ny rano madio ary aza mikasika zavatra maloto be loatra,areti-maso,misy areti-maso areti maso aho hatramin'ny alina masoko masony
aretim-po,Foko mangorakoraka ary tsy mahazo aina be loatra aho mandritra ny andro manontolo,Aspirin 75 mg : 1x/andro (maraina) tsy tapaka,Amlodipine 5 mg : 1x/andro (maraina),Mandehana any amin ny dokotera haingana ary mitsahara tsara,aretim-po,foko mangorakoraka ary tsy mahazo aina be loatra aho mandritra ny andro manontolo fo
tazo,Misy tazo ary tsy mahita tory aho hatramin'ny maraina,Aspirine 500 mg : 2x/andro (maraina-hariva),Vitamine C 1000 mg : 1x/andro (maraina),Miala sasatra tsara ary misotroa rano mafana,tazo,misy tazo ary tsy mahita tory aho hatramin'ny maraina manavy mafana mamay
fiakaran-ny-tosi-dra,Misy tosi-dra ambony ary manaintaina ny lohako hatramin'ny 9 ora,Amlodipine 5 mg : 1x/andro (maraina) tsy tapaka,Spironolactone 25 mg : 1x/andro (maraina),Mampihena ny stress ary misotroa rano betsaka,fiakaran-ny-tosi-dra,misy tosi-dra tosi dra ambony ary manaintaina ny lohako hatramin'ny ora tsindry hypertension marary mangirifiry fanaintainana loha lohany
aretin-tanana,Manaintaina ny ratsan tanako hatramin ny omaly,Kétoprofène gel : mametraka 3x/andro,Gel anti-inflammatoire : mametraka 2x/andro,Aza miasa be loatra ary mitsahara matetika,aretin-tanana,manaintaina ny ratsan tanako hatramin ny omaly marary mangirifiry fanaintainana
